State,Begin Civil Twilight,Rise,Upper Transit,Set,End Civil Twilight,Daylight Hours
AL,2022-12-21 04:15:00,2022-12-21 04:42:00,2022-12-21 09:43:00,2022-12-21 14:44:00,2022-12-21 15:11:00,0 days 10:02:00
AK,2022-12-21 08:52:00,2022-12-21 09:45:00,2022-12-21 12:56:00,2022-12-21 16:07:00,2022-12-21 17:00:00,0 days 06:22:00
AZ,2022-12-21 06:01:00,2022-12-21 06:28:00,2022-12-21 11:26:00,2022-12-21 16:25:00,2022-12-21 16:52:00,0 days 09:57:00
AR,2022-12-21 04:45:00,2022-12-21 05:13:00,2022-12-21 10:07:00,2022-12-21 15:02:00,2022-12-21 15:30:00,0 days 09:49:00
CA,2022-12-21 06:50:00,2022-12-21 07:20:00,2022-12-21 12:04:00,2022-12-21 16:48:00,2022-12-21 17:18:00,0 days 09:28:00
CO,2022-12-21 05:47:00,2022-12-21 06:17:00,2022-12-21 10:58:00,2022-12-21 15:39:00,2022-12-21 16:09:00,0 days 09:22:00
CT,2022-12-21 03:43:00,2022-12-21 04:15:00,2022-12-21 08:49:00,2022-12-21 13:23:00,2022-12-21 13:55:00,0 days 09:08:00
DC,2022-12-21 03:53:00,2022-12-21 04:23:00,2022-12-21 09:06:00,2022-12-21 13:49:00,2022-12-21 14:19:00,0 days 09:26:00
DE,2022-12-21 03:48:00,2022-12-21 04:18:00,2022-12-21 09:00:00,2022-12-21 13:43:00,2022-12-21 14:13:00,0 days 09:25:00
FL,2022-12-21 04:03:00,2022-12-21 04:30:00,2022-12-21 09:35:00,2022-12-21 14:41:00,2022-12-21 15:07:00,0 days 10:11:00
GA,2022-12-21 04:11:00,2022-12-21 04:38:00,2022-12-21 09:36:00,2022-12-21 14:33:00,2022-12-21 15:01:00,0 days 09:55:00
HI,2022-12-21 08:40:00,2022-12-21 09:04:00,2022-12-21 14:30:00,2022-12-21 19:55:00,2022-12-21 20:19:00,0 days 10:51:00
ID,2022-12-21 06:42:00,2022-12-21 07:15:00,2022-12-21 11:43:00,2022-12-21 16:11:00,2022-12-21 16:44:00,0 days 08:56:00
IL,2022-12-21 04:46:00,2022-12-21 05:16:00,2022-12-21 09:57:00,2022-12-21 14:37:00,2022-12-21 15:08:00,0 days 09:21:00
IN,2022-12-21 04:32:00,2022-12-21 05:02:00,2022-12-21 09:43:00,2022-12-21 14:23:00,2022-12-21 14:54:00,0 days 09:21:00
IA,2022-12-21 05:06:00,2022-12-21 05:38:00,2022-12-21 10:13:00,2022-12-21 14:47:00,2022-12-21 15:19:00,0 days 09:09:00
KS,2022-12-21 05:08:00,2022-12-21 05:38:00,2022-12-21 10:21:00,2022-12-21 15:04:00,2022-12-21 15:34:00,0 days 09:26:00
KY,2022-12-21 04:23:00,2022-12-21 04:52:00,2022-12-21 09:38:00,2022-12-21 14:23:00,2022-12-21 14:52:00,0 days 09:31:00
LA,2022-12-21 04:31:00,2022-12-21 04:57:00,2022-12-21 10:03:00,2022-12-21 15:08:00,2022-12-21 15:35:00,0 days 10:11:00
ME,2022-12-21 03:38:00,2022-12-21 04:12:00,2022-12-21 08:37:00,2022-12-21 13:03:00,2022-12-21 13:36:00,0 days 08:51:00
MD,2022-12-21 03:51:00,2022-12-21 04:21:00,2022-12-21 09:04:00,2022-12-21 13:47:00,2022-12-21 14:17:00,0 days 09:26:00
MA,2022-12-21 03:38:00,2022-12-21 04:10:00,2022-12-21 08:42:00,2022-12-21 13:15:00,2022-12-21 13:47:00,0 days 09:05:00
MI,2022-12-21 04:33:00,2022-12-21 05:05:00,2022-12-21 09:36:00,2022-12-21 14:07:00,2022-12-21 14:40:00,0 days 09:02:00
MN,2022-12-21 05:14:00,2022-12-21 05:47:00,2022-12-21 10:11:00,2022-12-21 14:34:00,2022-12-21 15:08:00,0 days 08:47:00
MS,2022-12-21 04:31:00,2022-12-21 04:58:00,2022-12-21 09:59:00,2022-12-21 15:00:00,2022-12-21 15:27:00,0 days 10:02:00
MO,2022-12-21 04:53:00,2022-12-21 05:23:00,2022-12-21 10:07:00,2022-12-21 14:51:00,2022-12-21 15:21:00,0 days 09:28:00
MT,2022-12-21 06:34:00,2022-12-21 07:09:00,2022-12-21 11:26:00,2022-12-21 15:43:00,2022-12-21 16:18:00,0 days 08:34:00
NE,2022-12-21 05:16:00,2022-12-21 05:48:00,2022-12-21 10:25:00,2022-12-21 15:02:00,2022-12-21 15:33:00,0 days 09:14:00
NV,2022-12-21 06:45:00,2022-12-21 07:15:00,2022-12-21 11:57:00,2022-12-21 16:40:00,2022-12-21 17:10:00,0 days 09:25:00
NH,2022-12-21 03:42:00,2022-12-21 04:15:00,2022-12-21 08:44:00,2022-12-21 13:14:00,2022-12-21 13:46:00,0 days 08:59:00
NJ,2022-12-21 03:47:00,2022-12-21 04:18:00,2022-12-21 08:57:00,2022-12-21 13:36:00,2022-12-21 14:07:00,0 days 09:18:00
NM,2022-12-21 05:41:00,2022-12-21 06:10:00,2022-12-21 11:02:00,2022-12-21 15:54:00,2022-12-21 16:23:00,0 days 09:44:00
NY,2022-12-21 03:50:00,2022-12-21 04:22:00,2022-12-21 08:53:00,2022-12-21 13:25:00,2022-12-21 13:57:00,0 days 09:03:00
NC,2022-12-21 03:52:00,2022-12-21 04:21:00,2022-12-21 09:13:00,2022-12-21 14:05:00,2022-12-21 14:33:00,0 days 09:44:00
ND,2022-12-21 05:56:00,2022-12-21 06:34:00,2022-12-21 10:41:00,2022-12-21 14:49:00,2022-12-21 15:26:00,0 days 08:15:00
OH,2022-12-21 04:20:00,2022-12-21 04:50:00,2022-12-21 09:30:00,2022-12-21 14:10:00,2022-12-21 14:41:00,0 days 09:20:00
OK,2022-12-21 05:07:00,2022-12-21 05:36:00,2022-12-21 10:28:00,2022-12-21 15:21:00,2022-12-21 15:49:00,0 days 09:45:00
OR,2022-12-21 07:13:00,2022-12-21 07:47:00,2022-12-21 12:10:00,2022-12-21 16:34:00,2022-12-21 17:07:00,0 days 08:47:00
PA,2022-12-21 03:56:00,2022-12-21 04:27:00,2022-12-21 09:06:00,2022-12-21 13:45:00,2022-12-21 14:15:00,0 days 09:18:00
PR,2022-12-21 02:30:00,2022-12-21 02:53:00,2022-12-21 08:24:00,2022-12-21 13:56:00,2022-12-21 14:19:00,0 days 11:03:00
RI,2022-12-21 03:38:00,2022-12-21 04:10:00,2022-12-21 08:44:00,2022-12-21 13:18:00,2022-12-21 13:50:00,0 days 09:08:00
SC,2022-12-21 03:58:00,2022-12-21 04:26:00,2022-12-21 09:22:00,2022-12-21 14:19:00,2022-12-21 14:47:00,0 days 09:53:00
SD,2022-12-21 05:41:00,2022-12-21 06:14:00,2022-12-21 10:40:00,2022-12-21 15:05:00,2022-12-21 15:38:00,0 days 08:51:00
