State,Begin Civil Twilight,Rise,Upper Transit,Set,End Civil Twilight,Daylight Hours,DH,DH_Z-score,DH_min-max
AL,2022-12-21 04:15:00,2022-12-21 04:42:00,2022-12-21 09:43:00,2022-12-21 14:44:00,2022-12-21 15:11:00,0 days 10:02:00,10.033333333333333,0.9875894100793954,0.7829181494661921
AK,2022-12-21 08:52:00,2022-12-21 09:45:00,2022-12-21 12:56:00,2022-12-21 16:07:00,2022-12-21 17:00:00,0 days 06:22:00,6.366666666666666,-4.379642348261831,0.0
AZ,2022-12-21 06:01:00,2022-12-21 06:28:00,2022-12-21 11:26:00,2022-12-21 16:25:00,2022-12-21 16:52:00,0 days 09:57:00,9.95,0.8656068701170939,0.7651245551601422
AR,2022-12-21 04:45:00,2022-12-21 05:13:00,2022-12-21 10:07:00,2022-12-21 15:02:00,2022-12-21 15:30:00,0 days 09:49:00,9.816666666666666,0.6704348061774136,0.7366548042704626
CA,2022-12-21 06:50:00,2022-12-21 07:20:00,2022-12-21 12:04:00,2022-12-21 16:48:00,2022-12-21 17:18:00,0 days 09:28:00,9.466666666666667,0.15810813833575157,0.6619217081850535
CO,2022-12-21 05:47:00,2022-12-21 06:17:00,2022-12-21 10:58:00,2022-12-21 15:39:00,2022-12-21 16:09:00,0 days 09:22:00,9.366666666666667,0.011729090380991377,0.6405693950177935
CT,2022-12-21 03:43:00,2022-12-21 04:15:00,2022-12-21 08:49:00,2022-12-21 13:23:00,2022-12-21 13:55:00,0 days 09:08:00,9.133333333333333,-0.3298220215134517,0.590747330960854
DC,2022-12-21 03:53:00,2022-12-21 04:23:00,2022-12-21 09:06:00,2022-12-21 13:49:00,2022-12-21 14:19:00,0 days 09:26:00,9.433333333333334,0.10931512235083152,0.6548042704626333
DE,2022-12-21 03:48:00,2022-12-21 04:18:00,2022-12-21 09:00:00,2022-12-21 13:43:00,2022-12-21 14:13:00,0 days 09:25:00,9.416666666666666,0.08491861435837018,0.6512455516014233
FL,2022-12-21 04:03:00,2022-12-21 04:30:00,2022-12-21 09:35:00,2022-12-21 14:41:00,2022-12-21 15:07:00,0 days 10:11:00,10.183333333333334,1.207157982011537,0.8149466192170818
GA,2022-12-21 04:11:00,2022-12-21 04:38:00,2022-12-21 09:36:00,2022-12-21 14:33:00,2022-12-21 15:01:00,0 days 09:55:00,9.916666666666666,0.8168138541321738,0.7580071174377221
HI,2022-12-21 08:40:00,2022-12-21 09:04:00,2022-12-21 14:30:00,2022-12-21 19:55:00,2022-12-21 20:19:00,0 days 10:51:00,10.85,2.183018301709941,0.9572953736654803
ID,2022-12-21 06:42:00,2022-12-21 07:15:00,2022-12-21 11:43:00,2022-12-21 16:11:00,2022-12-21 16:44:00,0 days 08:56:00,8.933333333333334,-0.6225801174229721,0.5480427046263345
IL,2022-12-21 04:46:00,2022-12-21 05:16:00,2022-12-21 09:57:00,2022-12-21 14:37:00,2022-12-21 15:08:00,0 days 09:21:00,9.35,-0.012667417611469958,0.6370106761565835
IN,2022-12-21 04:32:00,2022-12-21 05:02:00,2022-12-21 09:43:00,2022-12-21 14:23:00,2022-12-21 14:54:00,0 days 09:21:00,9.35,-0.012667417611469958,0.6370106761565835
IA,2022-12-21 05:06:00,2022-12-21 05:38:00,2022-12-21 10:13:00,2022-12-21 14:47:00,2022-12-21 15:19:00,0 days 09:09:00,9.15,-0.3054255135209904,0.594306049822064
KS,2022-12-21 05:08:00,2022-12-21 05:38:00,2022-12-21 10:21:00,2022-12-21 15:04:00,2022-12-21 15:34:00,0 days 09:26:00,9.433333333333334,0.10931512235083152,0.6548042704626333
KY,2022-12-21 04:23:00,2022-12-21 04:52:00,2022-12-21 09:38:00,2022-12-21 14:23:00,2022-12-21 14:52:00,0 days 09:31:00,9.516666666666667,0.23129766231313298,0.6725978647686832
LA,2022-12-21 04:31:00,2022-12-21 04:57:00,2022-12-21 10:03:00,2022-12-21 15:08:00,2022-12-21 15:35:00,0 days 10:11:00,10.183333333333334,1.207157982011537,0.8149466192170818
ME,2022-12-21 03:38:00,2022-12-21 04:12:00,2022-12-21 08:37:00,2022-12-21 13:03:00,2022-12-21 13:36:00,0 days 08:51:00,8.85,-0.7445626573852736,0.5302491103202847
MD,2022-12-21 03:51:00,2022-12-21 04:21:00,2022-12-21 09:04:00,2022-12-21 13:47:00,2022-12-21 14:17:00,0 days 09:26:00,9.433333333333334,0.10931512235083152,0.6548042704626333
MA,2022-12-21 03:38:00,2022-12-21 04:10:00,2022-12-21 08:42:00,2022-12-21 13:15:00,2022-12-21 13:47:00,0 days 09:05:00,9.083333333333334,-0.4030115454908305,0.5800711743772242
MI,2022-12-21 04:33:00,2022-12-21 05:05:00,2022-12-21 09:36:00,2022-12-21 14:07:00,2022-12-21 14:40:00,0 days 09:02:00,9.033333333333333,-0.4762010694682119,0.5693950177935942
MN,2022-12-21 05:14:00,2022-12-21 05:47:00,2022-12-21 10:11:00,2022-12-21 14:34:00,2022-12-21 15:08:00,0 days 08:47:00,8.783333333333333,-0.8421486893551138,0.5160142348754448
MS,2022-12-21 04:31:00,2022-12-21 04:58:00,2022-12-21 09:59:00,2022-12-21 15:00:00,2022-12-21 15:27:00,0 days 10:02:00,10.033333333333333,0.9875894100793954,0.7829181494661921
MO,2022-12-21 04:53:00,2022-12-21 05:23:00,2022-12-21 10:07:00,2022-12-21 14:51:00,2022-12-21 15:21:00,0 days 09:28:00,9.466666666666667,0.15810813833575157,0.6619217081850535
MT,2022-12-21 06:34:00,2022-12-21 07:09:00,2022-12-21 11:26:00,2022-12-21 15:43:00,2022-12-21 16:18:00,0 days 08:34:00,8.566666666666666,-1.1593032932570955,0.4697508896797151
